Date,Open,High,Low,Close,Shares Traded,Turnover (Rs. Cr)
2015-12-14,7558.2,7663.95,7551.05,7650.05,153492615.0,6290.42
2015-12-11,7699.6,7703.05,7575.3,7610.45,172996480.0,6894.44
2015-12-10,7643.3,7691.95,7610.0,7683.3,145249292.0,6492.02
2015-12-09,7695.5,7702.85,7606.9,7612.5,144315690.0,6599.6
2015-12-08,7738.5,7771.25,7685.45,7701.7,139318392.0,5986.06
2015-12-07,7816.55,7825.4,7746.05,7765.4,141893279.0,6403.97
2015-12-04,7817.6,7821.4,7775.7,7781.9,157231681.0,7758.36
2015-12-03,7902.3,7912.3,7853.3,7864.15,129628400.0,5636.41
2015-12-02,7976.7,7979.3,7910.8,7931.35,130207404.0,6242.53
2015-12-01,7958.15,7972.15,7934.15,7954.9,142945421.0,6796.67
2015-11-30,7936.25,7966.0,7922.8,7935.25,223041699.0,15368.67
2015-11-27,7910.6,7959.3,7879.45,7942.7,154863047.0,7068.72
2015-11-26,7837.15,7897.1,7832.0,7883.8,226632193.0,11054.04
2015-11-24,7837.0,7870.35,7812.65,7831.6,134562905.0,6686.27
2015-11-23,7869.5,7877.5,7825.2,7849.25,130871603.0,6099.09
2015-11-20,7841.9,7906.95,7817.8,7856.55,156610433.0,7298.01
2015-11-19,7788.5,7854.9,7765.45,7842.75,136702518.0,7410.15
2015-11-18,7823.15,7843.4,7725.05,7731.8,148037721.0,6112.32
2015-11-17,7848.75,7860.45,7793.0,7837.55,149451211.0,6367.14
2015-11-16,7732.95,7838.85,7714.15,7806.6,154134885.0,6871.15
2015-11-13,7762.45,7775.1,7730.9,7762.25,165876819.0,7731.55
2015-11-11,7838.8,7847.95,7819.1,7825.0,22380435.0,1123.44
2015-11-10,7877.6,7885.1,7772.85,7783.35,170267413.0,7153.47
2015-11-09,7788.25,7937.75,7771.7,7915.2,218422388.0,9376.17
2015-11-06,7956.55,8002.65,7926.15,7954.3,,
2015-11-05,8030.35,8031.2,7944.1,7955.45,136223827.0,6001.38
2015-11-04,8104.9,8116.1,8027.3,8040.2,125935846.0,5696.01
2015-11-03,8086.35,8100.35,8031.75,8060.7,136625382.0,5955.64
2015-11-02,8054.55,8060.7,7995.6,8050.8,140323983.0,6552.67
2015-10-30,8123.55,8146.1,8044.4,8065.8,205663493.0,9218.39
